Date,Name,Year,Letterboxd URI
2023-07-23,Return of the Jedi,1983,https://boxd.it/27Vm
2023-07-23,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo
2023-07-23,The Lion King,1994,https://boxd.it/201Q
2023-07-23,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2023-07-23,Before Sunrise,1995,https://boxd.it/2bcU
2023-07-23,The Prestige,2006,https://boxd.it/293w
2023-07-23,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2023-07-23,Ant-Man,2015,https://boxd.it/3vmW
2023-07-23,Logan,2017,https://boxd.it/7Piy
2023-07-23,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu
2023-07-23,Jaws,1975,https://boxd.it/2a5e
2023-07-23,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk
2023-07-23,Home Alone,1990,https://boxd.it/29Fg
2023-07-23,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2023-07-23,The Departed,2006,https://boxd.it/28MA
2023-07-23,Captain America: The First Avenger,2011,https://boxd.it/28b0
2023-07-23,Schindler's List,1993,https://boxd.it/2aq2
2023-07-23,Babylon,2022,https://boxd.it/mM02
2023-07-23,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe
2023-07-23,Léon: The Professional,1994,https://boxd.it/2b8S
2023-07-27,Gladiator,2000,https://boxd.it/2b9m
2023-07-27,Following,1998,https://boxd.it/1Tj4
2023-07-27,Insomnia,2002,https://boxd.it/2aB0
2023-07-27,The Hateful Eight,2015,https://boxd.it/8gw8
2023-07-29,The Devil Wears Prada,2006,https://boxd.it/2awE
2023-07-29,Punch-Drunk Love,2002,https://boxd.it/20E4
2023-08-02,The Martian,2015,https://boxd.it/8SeG
2023-08-06,Forrest Gump,1994,https://boxd.it/728
2023-08-07,Ocean's Eleven,2001,https://boxd.it/2aZm
2023-08-13,Ghostbusters,1984,https://boxd.it/g2w
2023-08-20,12 Angry Men,1957,https://boxd.it/2auI
2023-08-20,The Apartment,1960,https://boxd.it/2aGE
2023-08-20,Before Sunset,2004,https://boxd.it/2bcg
2023-08-20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
