Date,Name,Year,Letterboxd URI,Rating
2024-08-19,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,5
2024-08-19,A Few Good Men,1992,https://boxd.it/29nw,4.5
2024-08-19,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,4.5
2024-08-20,Jerry Maguire,1996,https://boxd.it/1YNS,3
2024-08-20,Heat,1995,https://boxd.it/2bg8,4.5
2024-08-21,First Blood,1982,https://boxd.it/28U0,4
2024-08-21,The Batman,2022,https://boxd.it/eDGs,5
2024-08-21,Amélie,2001,https://boxd.it/2aUc,4.5
2024-08-27,To Catch a Thief,1955,https://boxd.it/2avm,3.5
2024-08-29,North by Northwest,1959,https://boxd.it/2aRM,3.5
2024-08-29,Dial M for Murder,1954,https://boxd.it/2adW,4
2024-08-29,High Noon,1952,https://boxd.it/2aGa,3
2024-08-29,Notorious,1946,https://boxd.it/2aDK,3.5
2024-08-30,Hot Fuzz,2007,https://boxd.it/2416,4.5
2024-08-30,Die Hard,1988,https://boxd.it/2a7u,4.5
2024-08-30,Green Book,2018,https://boxd.it/hErk,5
2024-08-30,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2024-08-31,The Untouchables,1987,https://boxd.it/2b6i,3.5
2024-08-31,Toy Story 4,2019,https://boxd.it/9ALu,5
2024-08-31,Zombieland,2009,https://boxd.it/1En6,3.5
2024-08-31,The Big Short,2015,https://boxd.it/ajZw,4.5
2024-08-31,Misery,1990,https://boxd.it/28gY,4
2024-09-01,Uncut Gems,2019,https://boxd.it/gXGc,4
2024-09-02,Toy Story,1995,https://boxd.it/29qA,5
2024-09-02,Scarface,1983,https://boxd.it/2b7g,4.5
2024-09-05,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,2.5
2024-09-05,Paths of Glory,1957,https://boxd.it/29b6,2.5
2024-09-05,The Breakfast Club,1985,https://boxd.it/27q4,2.5
2024-09-07,Perfect Strangers,2016,https://boxd.it/dgVi,5
2024-09-07,CODA,2021,https://boxd.it/tbf4,5
2024-09-07,Bridget Jones's Diary,2001,https://boxd.it/29WQ,3
2024-09-07,Alice in Wonderland,1951,https://boxd.it/1Sz6,5
2024-09-08,The Little Mermaid,1989,https://boxd.it/1WYO,3.5
2024-09-14,3:10 to Yuma,2007,https://boxd.it/23g0,4.5
2024-09-15,Million Dollar Baby,2004,https://boxd.it/2bdI,4.5
2024-09-15,The Fighter,2010,https://boxd.it/PP4,3.5
2024-09-16,Gentlemen Prefer Blondes,1953,https://boxd.it/29Hc,3.5
2024-09-18,A Beautiful Mind,2001,https://boxd.it/2amk,5
2024-09-19,The Insider,1999,https://boxd.it/1ZoE,4
2024-09-21,After Hours,1985,https://boxd.it/1VfS,4
2024-09-26,Midnight Run,1988,https://boxd.it/1ZnQ,3.5
2024-09-27,Thief,1981,https://boxd.it/1TEc,3
2024-09-29,Air,2023,https://boxd.it/Arlc,4
2024-09-29,Following,1998,https://boxd.it/1Tj4,4
2024-10-01,Shōgun,2024,https://boxd.it/LciY,2.5
2024-10-03,Alien: Romulus,2024,https://boxd.it/zGqO,3.5
2024-10-27,Transformers One,2024,https://boxd.it/q7bc,4
2024-11-12,The Penguin,2024,https://boxd.it/QkIU,3.5
2024-11-24,Heretic,2024,https://boxd.it/H1lY,3
2024-12-12,Conclave,2024,https://boxd.it/AO8q,4.5
2024-12-13,Godzilla Minus One,2023,https://boxd.it/zu4c,3.5
2024-12-14,Palm Springs,2020,https://boxd.it/lCXQ,4.5
2024-12-15,Juno,2007,https://boxd.it/210a,4.5
2024-12-16,We Live in Time,2024,https://boxd.it/FC5u,3
2024-12-16,True Grit,2010,https://boxd.it/Sog,3.5
2024-12-17,Moneyball,2011,https://boxd.it/glS,4
2024-12-19,Good Time,2017,https://boxd.it/fcFu,3.5
2024-12-19,Anora,2024,https://boxd.it/Egcw,3
2024-12-21,Flow,2024,https://boxd.it/v1Ei,3.5
2024-12-23,About Time,2013,https://boxd.it/43bI,4.5
2024-12-26,The Wild Robot,2024,https://boxd.it/IWFy,4
2024-12-27,"I, Tonya",2017,https://boxd.it/dzR0,4
2024-12-29,The Suicide Squad,2021,https://boxd.it/fw6O,4
2024-12-29,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2025-01-01,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/t77K,3.5
2025-01-01,An Evening with Dua Lipa,2024,https://boxd.it/RhDY,4.5
2025-01-01,The Wizard of Oz,1939,https://boxd.it/29Xu,1.5
2025-01-02,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2025-01-03,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,5
2025-01-04,Wicked,2024,https://boxd.it/e8ME,3
2025-01-06,Home Alone,1990,https://boxd.it/29Fg,4
2025-01-10,A Real Pain,2024,https://boxd.it/CjNG,3.5
2025-01-14,The Second,2024,https://boxd.it/Nlvw,3.5
2025-01-15,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4.5
2025-01-15,Life of Brian,1979,https://boxd.it/2a4q,4
2025-01-18,Sing Sing,2023,https://boxd.it/HIBA,4.5
2025-01-19,The Apprentice,2024,https://boxd.it/IPqG,4
2025-01-25,Emilia Pérez,2024,https://boxd.it/AP3G,2
2025-01-26,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,3
2025-02-02,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2025-02-04,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2025-02-05,Fruitvale Station,2013,https://boxd.it/4VRy,3
